detector,mixture_ratio,training_seed,parameters,epochs_completed,selected_epoch,static_validation_accuracy,static_validation_macro_accuracy,static_baseline_accuracy,static_accuracy_delta,walking_validation_accuracy,walking_validation_macro_accuracy,walking_class_recall_json,walking_phase_accuracy_json,all_terrain_classes_covered,candidate_gate_pass,candidate_model_path,candidate_model_sha256,probability_threshold,runtime_persistence,controlled_validation_causal_run_fpr,controlled_validation_run_recall,controlled_baseline_run_recall,walking_normal_false_positive_runs,walking_positive_run_recall,walking_detected_positive_runs,walking_physical_positive_runs,walking_anticipation_runs,walking_invalid_firing_samples,walking_p95_stable_latency_ms,walking_profile_results_json,positive_profile_gate_pass,inference_compute_ms_per_window,diagnostic_fallback_selected
terrain,0.25,20261001,1272,40,0,0.9582463465553236,0.9583158263305322,0.9624217118997912,-0.0041753653444676075,0.4744260847628658,0.25310251736106276,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09901338971106413, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9070424303288979, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5114944771866828, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.25_s20261001.keras,5c0ea29f50ae39196c9215de668989c678ea659a60ea38291cb4d854cfe20e48,,,,,,,,,,,,,,,,
terrain,0.25,20261002,1272,40,0,0.9582463465553236,0.9583158263305322,0.9624217118997912,-0.0041753653444676075,0.4744260847628658,0.25310251736106276,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09901338971106413, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9070424303288979, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5114944771866828, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.25_s20261002.keras,8d483e6c6300a658ab37e008e43fa0846a76018347dc7f7490b7aa1b70a8fb4f,,,,,,,,,,,,,,,,
terrain,0.25,20261003,1272,40,0,0.9582463465553236,0.9583158263305322,0.9624217118997912,-0.0041753653444676075,0.4744260847628658,0.25310251736106276,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09901338971106413, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9070424303288979, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5114944771866828, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.25_s20261003.keras,6f4c48cf59b7c505c2adcf11a1cc4b08b4918c4fc74b708f8015fa9855f027d8,,,,,,,,,,,,,,,,
terrain,0.5,20261001,1272,40,0,0.954070981210856,0.9541491596638656,0.9624217118997912,-0.008350730688935215,0.4747414228052472,0.2532310808453707,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09883720930232558, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9077328646748682, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5118847820147535, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.50_s20261001.keras,6877ef74af4edace6b6643b54ae0e95d89361b05382666d0f0bc14645d0eb896,,,,,,,,,,,,,,,,
terrain,0.5,20261002,1272,40,0,0.954070981210856,0.9541491596638656,0.9624217118997912,-0.008350730688935215,0.4747414228052472,0.2532310808453707,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09883720930232558, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9077328646748682, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5118847820147535, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.50_s20261002.keras,e02a61cb3a0f56e4db99fab830662c2265643286fa4727b506787a29258a025b,,,,,,,,,,,,,,,,
terrain,0.5,20261003,1272,40,0,0.954070981210856,0.9541491596638656,0.9624217118997912,-0.008350730688935215,0.4747414228052472,0.2532310808453707,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09883720930232558, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9077328646748682, ""support"": 15932}}","[{""accuracy"": 0.33396155295891444, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5118847820147535, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r0.50_s20261003.keras,8e008b3a4229e42dab266e574e1913f5a63973e35125ce7d2b92d92c3e05e5a8,,,,,,,,,,,,,,,,
terrain,1.0,20261001,1272,40,0,0.954070981210856,0.9541666666666666,0.9624217118997912,-0.008350730688935215,0.4751513622603431,0.2534067193987221,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09866102889358704, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9086115992970123, ""support"": 15932}}","[{""accuracy"": 0.3335846211835658, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5124312087740526, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r1.00_s20261001.keras,49ff0672b3a0374e8e05756e6d39a93c33e0380c6cce055a8ccc9d4a6d7732c1,,,,,,,,,,,,,,,,
terrain,1.0,20261002,1272,40,0,0.954070981210856,0.9541666666666666,0.9624217118997912,-0.008350730688935215,0.4751513622603431,0.2534067193987221,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09866102889358704, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9086115992970123, ""support"": 15932}}","[{""accuracy"": 0.3335846211835658, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5124312087740526, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r1.00_s20261002.keras,c3c17ae516d096aaa6260692fd235582595fc5e5ccb7378f4c6d8b3468dfe584,,,,,,,,,,,,,,,,
terrain,1.0,20261003,1272,40,0,0.954070981210856,0.9541666666666666,0.9624217118997912,-0.008350730688935215,0.4751513622603431,0.2534067193987221,"{""concrete"": {""recall"": 0.0, ""support"": 5068}, ""ice"": {""recall"": 0.09866102889358704, ""support"": 5676}, ""marble"": {""recall"": 0.006354249404289118, ""support"": 5036}, ""sand"": {""recall"": 0.9086115992970123, ""support"": 15932}}","[{""accuracy"": 0.3335846211835658, ""gait_phase"": ""LOADING"", ""support"": 2653}, {""accuracy"": 0.5124312087740526, ""gait_phase"": ""MID_STANCE"", ""support"": 25621}, {""accuracy"": 0.39461883408071746, ""gait_phase"": ""PUSH_OFF"", ""support"": 1115}, {""accuracy"": 0.26431338786052516, ""gait_phase"": ""TOUCHDOWN"", ""support"": 2323}]",True,True,training_workspace/terrain_r1.00_s20261003.keras,0e09824ec3a7385fa08fbf881e92280d0ec58811b7ee5461f2b4c6406aa3b7ce,,,,,,,,,,,,,,,,
slip,0.25,20261001,1237,,,,,,,,,,,,False,training_workspace/slip_r0.25_s20261001.keras,0bb8e5d96d8183ff79b994416a3c50769338605a8b80b769cfb42ce361f91c4a,0.0,1,1.0,1.0,0.8235294117647058,9,1.0,3,3,3,0,0.0,"{""ice"": {""detected_runs"": 3, ""detected_speeds_mps"": [0.1, 0.15, 0.2], ""physical_positive_runs"": 3}}",True,0.01498767414104435,
